Base Name,Unit_Cost_USD_t,Max_Yearly_Payload_t,Payload_per_Launch,Kappa
Kourou (GUF),1885553.1517232663,83102.01462797038,113.83837620269914,52.70630344653263
Sriharikota (IND),1885624.3639980971,82878.05905783418,113.53158775045779,52.84872799619423
Starbase (USA),1885836.9500986957,82216.6198414445,112.62550663211574,53.2739001973916
Cape Canaveral (USA),1885895.5008731566,82036.29556927104,112.3784870811932,53.39100174631301
Vandenberg (USA),1886064.677284066,81519.6838898537,111.67079984911464,53.72935456813216
Wallops (USA),1886159.4911963171,81232.98707874614,111.27806449143306,53.91898239263427
Taiyuan (CHN),1886191.8938292246,81135.47029548732,111.14447985683195,53.983787658449195
Mahia (NZL),1886205.377090194,81094.96092891875,111.0889875738613,54.010754180388
Baikonur (KAZ),1886442.2383473318,80389.87002749367,110.12310962670367,54.484476694663414
Alaska (USA),1886917.611433302,79011.13720674979,108.23443452979423,55.43522286660398
