Facility,Amount(t),Cost(USD)
Elevator 1,6029826.564145558,18696065502239.758
Elevator 2,6029826.564145558,18696065502239.758
Elevator 3,6029826.564145558,18696065502239.758
Base: Alaska (USA),7955470.30175903,24889454301656.37
Base: Vandenberg (USA),8196656.52157567,25636890396868.14
Base: Starbase (USA),8263605.011744645,25844363767901.793
Base: Cape Canaveral (USA),8246285.27664163,25790689908817.55
Base: Wallops (USA),8169108.714323905,25551519742194.918
Base: Baikonur (KAZ),8088071.111321099,25300384210489.223
Base: Kourou (GUF),8348620.739737591,26107827508951.934
Base: Sriharikota (IND),8327120.315819576,26041197695230.008
Base: Taiyuan (CHN),8159737.644982519,25522478798305.965
Base: Mahia (NZL),8155844.66965769,25510414467774.32
