Scenario,Time,Facility,Amount,Cost
Point_1,107.51225411193502,Elevator_Total,18089479.69243667,56088196506719.266
Point_1,107.51225411193502,Base_Kourou (GUF),8348620.739737589,26107827508951.926
Point_1,107.51225411193502,Base_Sriharikota (IND),8327120.3158195745,26041197695230.0
Point_1,107.51225411193502,Base_Starbase (USA),8263605.011744644,25844363767901.79
Point_1,107.51225411193502,Base_Cape Canaveral (USA),8246285.276641628,25790689908817.543
Point_1,107.51225411193502,Base_Vandenberg (USA),8196656.521575667,25636890396868.13
Point_1,107.51225411193502,Base_Wallops (USA),8169108.7143239025,25551519742194.91
Point_1,107.51225411193502,Base_Taiyuan (CHN),8159737.644982516,25522478798305.953
Point_1,107.51225411193502,Base_Mahia (NZL),8155844.669657689,25510414467774.312
Point_1,107.51225411193502,Base_Baikonur (KAZ),8088071.111321097,25300384210489.22
Point_1,107.51225411193502,Base_Alaska (USA),7955470.301759028,24889454301656.363
Point_2,134.39031763991878,Elevator_Total,22611849.615545835,70110245633399.08
Point_2,134.39031763991878,Base_Kourou (GUF),10435775.924671985,32634784386189.906
Point_2,134.39031763991878,Base_Sriharikota (IND),10408900.394774467,32551497119037.496
Point_2,134.39031763991878,Base_Starbase (USA),10329506.264680805,32305454709877.24
Point_2,134.39031763991878,Base_Cape Canaveral (USA),10307856.595802035,32238362386021.93
Point_2,134.39031763991878,Base_Vandenberg (USA),10245820.651969584,32046112996085.164
Point_2,134.39031763991878,Base_Wallops (USA),10211385.892904878,31939399677743.637
Point_2,134.39031763991878,Base_Taiyuan (CHN),10199672.056228146,31903098497882.45
Point_2,134.39031763991878,Base_Mahia (NZL),5249232.603422269,16418912421081.76
Point_2,134.39031763991878,Base_Baikonur (KAZ),0.0,0.0
Point_2,134.39031763991878,Base_Alaska (USA),0.0,0.0
Point_3,215.02450822387004,Elevator_Total,36178959.38487334,112176393013438.53
Point_3,215.02450822387004,Base_Kourou (GUF),16697241.479475178,52215655017903.85
Point_3,215.02450822387004,Base_Sriharikota (IND),16654240.631639149,52082395390460.0
Point_3,215.02450822387004,Base_Starbase (USA),16527210.023489287,51688727535803.58
Point_3,215.02450822387004,Base_Cape Canaveral (USA),13942348.480523048,43605426467647.82
Point_3,215.02450822387004,Base_Vandenberg (USA),0.0,0.0
Point_3,215.02450822387004,Base_Wallops (USA),0.0,0.0
Point_3,215.02450822387004,Base_Taiyuan (CHN),0.0,0.0
Point_3,215.02450822387004,Base_Mahia (NZL),0.0,0.0
Point_3,215.02450822387004,Base_Baikonur (KAZ),0.0,0.0
Point_3,215.02450822387004,Base_Alaska (USA),0.0,0.0
Point_4,322.53676233580507,Elevator_Total,54268439.07731,168264589520157.78
Point_4,322.53676233580507,Base_Kourou (GUF),25045862.219212767,78323482526855.78
Point_4,322.53676233580507,Base_Sriharikota (IND),20685698.70347723,64689874647043.01
Point_4,322.53676233580507,Base_Starbase (USA),0.0,0.0
Point_4,322.53676233580507,Base_Cape Canaveral (USA),0.0,0.0
Point_4,322.53676233580507,Base_Vandenberg (USA),0.0,0.0
Point_4,322.53676233580507,Base_Wallops (USA),0.0,0.0
Point_4,322.53676233580507,Base_Taiyuan (CHN),0.0,0.0
Point_4,322.53676233580507,Base_Mahia (NZL),0.0,0.0
Point_4,322.53676233580507,Base_Baikonur (KAZ),0.0,0.0
Point_4,322.53676233580507,Base_Alaska (USA),0.0,0.0
